Run time (s);Round;Exception;deadline;Agreement;Discounted;#agreeing;min.util.;max.util.;Dist. to Pareto;Dist. to Nash;Social Welfare;Agent 1;Agent 2;Agent 3;Agent 4;Utility 1;Utility 2;Utility 3;Utility 4;Disc. Util. 1;Disc. Util. 2;Disc. Util. 3;Disc. Util. 4;Profile 1;Profile 2;Profile 3;Profile 4
14.730;198;;270rounds;Yes;No;4;0.42915;0.94048;0.00000;0.45089;2.91367;Group19@0;Atlas3@1;AgentW@2;AgentBuyogMain@3;0.8958333333333334;0.4291528300621356;0.6482067331217174;0.94047535;0.8958333333333334;0.4291528300621356;0.6482067331217174;0.94047535;party1_utility.xml;party2_utility.xml;party3_utility.xml;party4_utility.xml
11.795;271;;270rounds;Yes;No;4;0.61583;0.79353;0.08636;0.28249;2.81654;Atlas3@4;Group19@5;AgentW@6;AgentBuyogMain@7;0.6158333333333333;0.7047964061501943;0.793532840191558;0.7023803500000001;0.6158333333333333;0.7047964061501943;0.793532840191558;0.7023803500000001;party1_utility.xml;party2_utility.xml;party3_utility.xml;party4_utility.xml
11.631;270;;270rounds;Yes;No;4;0.70401;0.84001;0.00000;0.00000;3.15367;AgentW@8;Group19@9;Atlas3@10;AgentBuyogMain@11;0.8358333333333332;0.8400142500258816;0.7040114379358235;0.77380885;0.8358333333333332;0.8400142500258816;0.7040114379358235;0.77380885;party1_utility.xml;party2_utility.xml;party3_utility.xml;party4_utility.xml
16.014;269;;270rounds;Yes;No;4;0.70401;0.84001;0.00000;0.00000;3.15367;AgentBuyogMain@12;Group19@13;Atlas3@14;AgentW@15;0.8358333333333332;0.8400142500258816;0.7040114379358235;0.77380885;0.8358333333333332;0.8400142500258816;0.7040114379358235;0.77380885;party1_utility.xml;party2_utility.xml;party3_utility.xml;party4_utility.xml
12.581;231;;270rounds;Yes;No;4;0.70401;0.84001;0.00000;0.00000;3.15367;Group19@16;AgentW@17;Atlas3@18;AgentBuyogMain@19;0.8358333333333332;0.8400142500258816;0.7040114379358235;0.77380885;0.8358333333333332;0.8400142500258816;0.7040114379358235;0.77380885;party1_utility.xml;party2_utility.xml;party3_utility.xml;party4_utility.xml
18.117;225;;270rounds;Yes;No;4;0.46466;0.96428;0.00000;0.44422;2.93902;Atlas3@20;AgentW@21;Group19@22;AgentBuyogMain@23;0.7216666666666667;0.46465791148211794;0.7884131566529866;0.9642848500000001;0.7216666666666667;0.46465791148211794;0.7884131566529866;0.9642848500000001;party1_utility.xml;party2_utility.xml;party3_utility.xml;party4_utility.xml
22.738;271;;270rounds;No;No;1;0.00000;0.00000;1.36280;1.58071;0.00000;AgentW@24;Atlas3@25;Group19@26;AgentBuyogMain@27;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;party1_utility.xml;party2_utility.xml;party3_utility.xml;party4_utility.xml
20.013;198;;270rounds;Yes;No;4;0.66845;0.86917;0.00000;0.18003;3.07544;AgentBuyogMain@28;Atlas3@29;Group19@30;AgentW@31;0.8691666666666665;0.6684535901130682;0.7282936928810025;0.8095231;0.8691666666666665;0.6684535901130682;0.7282936928810025;0.8095231;party1_utility.xml;party2_utility.xml;party3_utility.xml;party4_utility.xml
19.541;269;;270rounds;Yes;No;4;0.63591;0.84524;0.00000;0.22036;3.03712;Group19@32;AgentBuyogMain@33;Atlas3@34;AgentW@35;0.8150000000000001;0.6359129972646623;0.7409726045145938;0.8452373500000001;0.8150000000000001;0.6359129972646623;0.7409726045145938;0.8452373500000001;party1_utility.xml;party2_utility.xml;party3_utility.xml;party4_utility.xml
31.314;269;;270rounds;Yes;No;4;0.41817;0.79166;0.26318;0.65580;2.13400;Atlas3@36;AgentBuyogMain@37;Group19@38;AgentW@39;0.4241666666666666;0.4181693986063617;0.7916613444972634;0.49999955;0.4241666666666666;0.4181693986063617;0.7916613444972634;0.49999955;party1_utility.xml;party2_utility.xml;party3_utility.xml;party4_utility.xml
