Run time (s);Round;Exception;deadline;Agreement;Discounted;#agreeing;min.util.;max.util.;Dist. to Pareto;Dist. to Nash;Social Welfare;Agent 1;Agent 2;Agent 3;Agent 4;Utility 1;Utility 2;Utility 3;Utility 4;Disc. Util. 1;Disc. Util. 2;Disc. Util. 3;Disc. Util. 4;Profile 1;Profile 2;Profile 3;Profile 4
21.959;269;;270rounds;Yes;No;4;0.48917;0.92857;0.00000;0.41460;2.95210;AgentW@0;AgentBuyogMain@1;Group19@2;Atlas3@3;0.7216666666666667;0.4891665771839484;0.8126954115981656;0.9285706;0.7216666666666667;0.4891665771839484;0.8126954115981656;0.9285706;party1_utility.xml;party2_utility.xml;party3_utility.xml;party4_utility.xml
19.657;271;;270rounds;Yes;No;4;0.59524;0.85225;0.00000;0.27385;2.98877;AgentBuyogMain@4;AgentW@5;Group19@6;Atlas3@7;0.69;0.8522529669934003;0.8512769996675457;0.59523755;0.69;0.8522529669934003;0.8512769996675457;0.59523755;party1_utility.xml;party2_utility.xml;party3_utility.xml;party4_utility.xml
13.979;271;;270rounds;Yes;No;4;0.62489;0.86583;0.00000;0.14970;2.95062;Group19@8;AgentW@9;AgentBuyogMain@10;Atlas3@11;0.8658333333333332;0.7218053051923241;0.6248907333017644;0.7380945999999999;0.8658333333333332;0.7218053051923241;0.6248907333017644;0.7380945999999999;party1_utility.xml;party2_utility.xml;party3_utility.xml;party4_utility.xml
12.774;252;;270rounds;Yes;No;4;0.56124;0.83794;0.00000;0.36153;2.89085;Atlas3@12;AgentW@13;AgentBuyogMain@14;Group19@15;0.6583333333333333;0.5612410609976625;0.8379439216685706;0.8333326000000001;0.6583333333333333;0.5612410609976625;0.8379439216685706;0.8333326000000001;party1_utility.xml;party2_utility.xml;party3_utility.xml;party4_utility.xml
12.158;270;;270rounds;Yes;No;4;0.70401;0.84001;0.00000;0.00000;3.15367;AgentW@16;Group19@17;AgentBuyogMain@18;Atlas3@19;0.8358333333333332;0.8400142500258816;0.7040114379358235;0.77380885;0.8358333333333332;0.8400142500258816;0.7040114379358235;0.77380885;party1_utility.xml;party2_utility.xml;party3_utility.xml;party4_utility.xml
11.352;269;;270rounds;Yes;No;4;0.48809;0.90721;0.00000;0.40999;2.67699;AgentBuyogMain@20;Group19@21;AgentW@22;Atlas3@23;0.5508333333333333;0.9072107560432943;0.7308463448040173;0.4880948;0.5508333333333333;0.9072107560432943;0.7308463448040173;0.4880948;party1_utility.xml;party2_utility.xml;party3_utility.xml;party4_utility.xml
12.347;256;;270rounds;Yes;No;4;0.69241;0.85649;0.00000;0.04287;3.13533;Group19@24;AgentBuyogMain@25;AgentW@26;Atlas3@27;0.8483333333333334;0.8564909885811369;0.6924080946242358;0.7380946000000002;0.8483333333333334;0.8564909885811369;0.6924080946242358;0.7380946000000002;party1_utility.xml;party2_utility.xml;party3_utility.xml;party4_utility.xml
13.660;271;;270rounds;No;No;1;0.00000;0.00000;1.36280;1.58071;0.00000;Atlas3@28;AgentBuyogMain@29;AgentW@30;Group19@31;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;party1_utility.xml;party2_utility.xml;party3_utility.xml;party4_utility.xml
14.778;271;;270rounds;No;No;1;0.00000;0.00000;1.36280;1.58071;0.00000;AgentW@32;Atlas3@33;AgentBuyogMain@34;Group19@35;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;party1_utility.xml;party2_utility.xml;party3_utility.xml;party4_utility.xml
13.475;271;;270rounds;No;No;1;0.00000;0.00000;1.36280;1.58071;0.00000;AgentBuyogMain@36;Atlas3@37;AgentW@38;Group19@39;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;party1_utility.xml;party2_utility.xml;party3_utility.xml;party4_utility.xml
